kit_name	function_name	initializer	return_type	calc_func	preparation	geometry3D	static	description
NCDK	AcidicGroupCount	new NCDK.QSAR.Descriptors.Moleculars.AcidicGroupCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of acidic groups.
NCDK	APol	new NCDK.QSAR.Descriptors.Moleculars.APolDescriptor()	DescriptorValue_double	Calculate				Sum of the atomic polarizabilities.
NCDK	AromaticAtomsCount	new NCDK.QSAR.Descriptors.Moleculars.AromaticAtomsCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of aromatic atoms.
NCDK	AromaticBondsCount	new NCDK.QSAR.Descriptors.Moleculars.AromaticBondsCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of aromatic bonds.
NCDK	AtomCount	new NCDK.QSAR.Descriptors.Moleculars.AtomCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of atoms.
NCDK	AutocorrelationCharge	new NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorCharge()	DescriptorValue_double[]	Calculate				Returns the autocorrelation charge.
NCDK	AutocorrelationMass	new NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorMass()	DescriptorValue_double[]	Calculate				Returns the autocorrelation mass.
NCDK	AutocorrelationPolarizability	new NCDK.QSAR.Descriptors.Moleculars.AutocorrelationDescriptorPolarizability()	DescriptorValue_double[]	Calculate				Returns the autocorrelation polarizability.
NCDK	BasicGroupCount	new NCDK.QSAR.Descriptors.Moleculars.BasicGroupCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of basic groups.
NCDK	BCUT	new NCDK.QSAR.Descriptors.Moleculars.BCUTDescriptor()	DescriptorValue_double[]	Calculate				Returns the BCUT.
NCDK	BondCount	new NCDK.QSAR.Descriptors.Moleculars.BondCountDescriptor()	DescriptorValue_int	Calculate				Returns the number of bonds.
NCDK	BPol	new NCDK.QSAR.Descriptors.Moleculars.BPolDescriptor()	DescriptorValue_double	Calculate				Sum of the absolute value of the difference between atomic polarizabilities of all bonded atoms in the molecule.
NCDK	CarbonTypes	new NCDK.QSAR.Descriptors.Moleculars.CarbonTypesDescriptor()	DescriptorValue_int[]	Calculate				Returns the topological descriptor characterizing the carbon connectivity. 
NCDK	ChiChain	new NCDK.QSAR.Descriptors.Moleculars.ChiChainDescriptor()	DescriptorValue_double[]	Calculate				Evaluates chi chain descriptors.
NCDK	ChiCluster	new NCDK.QSAR.Descriptors.Moleculars.ChiClusterDescriptor()	DescriptorValue_double[]	Calculate				Evaluates chi cluster descriptors.
NCDK	ChiPathCluster	new NCDK.QSAR.Descriptors.Moleculars.ChiPathClusterDescriptor()	DescriptorValue_double[]	Calculate				Evaluates chi path cluster descriptors.
NCDK	ChiPath	new NCDK.QSAR.Descriptors.Moleculars.ChiPathDescriptor()	DescriptorValue_double[]	Calculate				Evaluates chi path descriptors.
NCDK	CPSA	new NCDK.QSAR.Descriptors.Moleculars.CPSADescriptor()	DescriptorValue_double[]	Calculate		TRUE		Returns the CPSA.
